219.71,98.329,27,1,1
218.06,96.66,24,2,1
217.69,96.845,14,3,1
214.38,95.688,3,4,1
212.47,93.885,22,5,1
207.48,91.01,6,6,1
203.29,88.419,7,7,1
200.89,86.484,21,8,1
199.03,85.705,26,9,1
198.73,85.77,37,10,1
195.62,84.439,35,11,1
192.12,82.086,11,12,1
188.49,80.498,4,13,1
187.69,80.179,17,14,1
186.29,79.204,28,15,1
185.17,78.57,15,16,1
181.24,76.338,17,17,1
306.39,100.81,11,1,2
308.48,97.996,10,2,2
309.52,96.99,10,3,2
310.77,95.155,13,4,2
313.25,93.446,9,5,2
314.31,92.75,11,6,2
317,90.516,13,7,2
316.65,90.723,15,8,2
319.51,88.484,4,9,2
320.27,87.893,14,10,2
320.77,87.276,15,11,2
323.08,85.808,18,12,2
323.46,85.581,23,13,2
324.55,83.439,10,14,2
327,81.237,4,15,2
329.33,79.334,3,16,2
255.15,146.64,5,1,3
253.13,148.43,16,2,3
248.89,149.06,24,3,3
243.21,149.22,18,4,3
240.22,148.05,24,5,3
236.8,148.06,8,6,3
235.81,147.82,6,7,3
234.34,148.61,16,8,3
231.5,149.48,4,9,3
231.09,149.38,11,10,3
229.01,148.68,3,11,3
226.31,149.68,3,12,3
224.36,149.3,3,13,3
226.8,149.36,5,14,3
358.4,157.97,10,1,4
360.82,158.96,25,2,4
365.9,160.65,16,3,4
369.82,162,6,4,4
372.73,162.66,9,5,4
377.35,164.96,11,6,4
379.56,165.67,14,7,4
379.19,165.22,16,8,4
385.47,166.13,10,9,4
385.35,166.43,11,10,4
383.93,166.49,25,11,4
385.31,167.1,37,12,4
385.99,167,3,13,4
384.51,167.48,4,14,4
431.66,208.33,3,1,5
441.33,209.69,3,2,5
435.98,209.51,4,3,5
440.2,209.39,5,4,5
443.91,209.45,18,5,5
446.76,209.34,38,6,5
449.22,208.84,38,7,5
451.31,208.79,36,8,5
455.25,210.03,11,9,5
462,212,3,10,5
460.01,212,3,11,5
458.57,211.9,10,12,5
459.01,212,3,13,5
464.69,212.31,3,14,5
121.65,164.42,22,1,6
118.58,162.83,19,2,6
116.98,161.9,10,3,6
115.68,161.14,14,4,6
115.12,161.03,14,5,6
114.92,161.06,19,6,6
116.27,161.1,14,7,6
115.08,161.04,13,8,6
115.12,161.41,9,9,6
116.56,161.51,8,10,6
115.57,161.2,12,11,6
114.94,160.99,7,12,6
281.91,144.88,20,1,7
282.3,145.06,47,2,7
282.29,145.69,50,3,7
281.97,144.97,68,4,7
282.47,144.95,66,5,7
282.75,147.01,4,6,7
282.01,142.51,8,7,7
283.01,144.49,10,8,7
282.79,145.39,30,9,7
116.68,96.206,12,1,8
120.69,95.85,43,2,8
124.01,95.073,18,3,8
123.48,95.315,6,4,8
122.81,95.392,5,5,8
125.75,94.562,9,6,8
125.8,95.096,26,7,8
123.72,95.139,10,8,8
118.82,94.403,5,9,8
172.54,66.059,10,1,9
169.47,57.49,4,2,9
169.23,57.458,5,3,9
175.47,59.495,4,4,9
169.31,57.669,3,5,9
169.48,57.488,4,6,9
175.74,59.283,8,7,9
174.76,58.411,11,8,9
176.5,59.49,6,9,9
157.11,100.15,31,1,10
157.37,100.59,29,2,10
155.47,99.68,61,3,10
153.86,99.233,27,4,10
151.61,99.087,14,5,10
150.47,99.121,27,6,10
148.32,98.315,21,7,10
144.72,97.754,13,8,10
359.14,78.065,31,1,11
360.05,77.376,22,2,11
360.39,76.076,23,3,11
363,73.646,32,4,11
366.42,71.246,8,5,11
366.25,71.176,25,6,11
366.46,72.368,34,7,11
365.36,73.988,16,8,11
94.31,144.36,16,1,12
92.518,144.57,19,2,12
92.493,144.59,23,3,12
93.704,143.66,12,4,12
92.417,144.71,15,5,12
95.191,143.37,5,6,12
93.022,144.52,14,7,12
92.737,144.98,13,8,12
105,115.77,4,1,13
106.76,115.21,42,2,13
104.62,115.02,23,3,13
104.32,115.07,29,4,13
102.66,114.69,3,5,13
106.33,114.74,7,6,13
104,115,3,7,13
106.98,115,3,8,13
147.66,154.06,16,1,14
146.01,154.05,10,2,14
142.57,153.84,16,3,14
142.51,153.52,4,4,14
139.69,154.23,20,5,14
138.05,154.03,13,6,14
136.97,154,3,7,14
134.44,154,4,8,14
314.59,157.06,18,1,15
315.15,158.6,11,2,15
317.92,160.56,6,3,15
315.17,158.06,8,4,15
314.03,156.26,13,5,15
316.91,157.44,21,6,15
310.97,155,3,7,15
302.58,149.92,17,8,15
319.63,119.19,5,1,16
