420.91,81.808,103,1,1
422.8,80.752,77,2,1
423.78,80.263,112,3,1
426.53,78.219,76,4,1
426.93,77.956,112,5,1
430.97,76.867,33,6,1
432.83,76.171,32,7,1
434.68,75.181,27,8,1
436.14,74.874,43,9,1
437.16,74.278,42,10,1
439.29,73.729,32,11,1
440.51,73.396,40,12,1
441,73.009,7,13,1
442.42,70.648,23,14,1
442.79,69.443,45,15,1
39.916,109.64,32,1,2
39.196,109.2,30,2,2
41.085,109.73,37,3,2
39.545,108.86,29,4,2
42.488,110.15,53,5,2
40.338,108.49,15,6,2
40.522,108.53,41,7,2
40.603,108.69,20,8,2
39.735,108.26,18,9,2
38.978,108.5,8,10,2
42.493,108.2,16,11,2
40.789,108.18,27,12,2
41.121,108.42,23,13,2
41.377,108.41,17,14,2
40.986,108.51,6,15,2
166.1,152.9,20,1,3
167.73,153.31,19,2,3
170.43,154.38,28,3,3
171.58,155.14,28,4,3
174.2,156.27,25,5,3
175.2,157.22,34,6,3
175.5,157.54,43,7,3
180.56,160.53,35,8,3
184.22,162.65,26,9,3
185.42,163.49,22,10,3
186.51,163.9,24,11,3
187.29,163.74,36,12,3
189.55,164.03,25,13,3
192.36,164.99,33,14,3
432.27,61.089,134,1,4
433.13,61.073,145,2,4
430.46,60.245,80,3,4
430.67,60.522,46,4,4
430.16,60.447,11,5,4
432.51,60.498,10,6,4
433,60.247,4,7,4
433.47,59.715,170,8,4
433.17,59.672,6,9,4
433.59,59.716,145,10,4
432.36,59.142,170,11,4
432,59,3,12,4
434.06,59.041,19,13,4
433.49,59.142,16,14,4
392.73,63.437,44,1,5
394,63.502,47,2,5
394.7,63.308,47,3,5
395.95,62.968,49,4,5
397.76,62.544,34,5,5
401.12,61.787,24,6,5
402.65,61.892,31,7,5
404.5,62.03,18,8,5
406.78,62.026,41,9,5
406.79,62.154,56,10,5
409.07,62.113,19,11,5
407.98,61.8,27,12,5
121.98,134,7,1,6
121.46,133.84,13,2,6
121.3,133.43,21,3,6
119.86,132.85,14,4,6
118.52,132.5,23,5,6
117.27,132.33,23,6,6
114.74,131.74,25,7,6
112.93,131.79,33,8,6
111.95,131.69,32,9,6
108.75,131.51,36,10,6
105.32,131.12,9,11,6
351.56,33.957,74,1,7
352.52,34.243,68,2,7
351.56,34.324,77,3,7
351.34,34,50,4,7
352.6,34.202,85,5,7
352.53,34.035,78,6,7
354.3,33.964,82,7,7
354.76,34.284,72,8,7
355.89,34.273,64,9,7
356.85,34.341,38,10,7
355.24,33.831,57,11,7
210.18,17.541,11,1,8
212.62,16.931,18,2,8
216.03,15.974,19,3,8
217.19,15.512,31,4,8
220.73,14.191,18,5,8
219.6,14.607,55,6,8
228.5,13,4,7,8
227.91,13.144,21,8,8
226.41,13.555,16,9,8
232.1,12.749,13,10,8
351.38,129.86,14,1,9
347.94,131.53,32,2,9
345.68,132.75,24,3,9
344.97,133.03,30,4,9
343.87,132.82,34,5,9
344.07,132.59,25,6,9
344.31,132.51,28,7,9
347.03,132.51,10,8,9
343.5,132.49,4,9,9
346.17,133.33,6,10,9
259.25,89.49,109,1,10
259.49,89.646,101,2,10
259.9,89.753,101,3,10
259.41,89.988,100,4,10
258.79,90.067,72,5,10
259.77,89.719,106,6,10
259.64,89.831,112,7,10
259.4,89.492,117,8,10
258.17,89.374,91,9,10
258.05,88.76,81,10,10
257.99,88.814,63,11,10
256.9,88.173,58,12,10
256.87,88.225,35,13,10
257.35,87.974,47,14,10
257.3,88.409,50,15,10
256.82,88.89,50,16,10
256.79,88.817,52,17,10
256.76,88.706,56,18,10
256.77,88.824,63,19,10
257.28,88.649,66,20,10
256.99,88.773,63,21,10
256.5,88.825,63,22,10
256.55,88.621,70,23,10
256.43,88.834,72,24,10
256.85,88.878,74,25,10
256.8,88.777,82,26,10
256.3,88.468,66,27,10
256.61,88.561,61,28,10
257.33,88.764,78,29,10
257.23,88.418,75,30,10
256.86,88.063,71,31,10
257.25,88.39,63,32,10
257.84,88.752,89,33,10
258.6,89.144,96,34,10
258.41,89.212,91,35,10
258.57,89.442,91,36,10
259.19,89.689,92,37,10
258.66,89.224,87,38,10
15.524,108.69,26,1,11
15.315,108.1,16,2,11
15.48,107.51,12,3,11
15.318,107.68,17,4,11
16.143,108.52,11,5,11
15.646,107.26,14,6,11
16.129,108.45,27,7,11
16.599,109.23,12,8,11
16.643,108.43,11,9,11
186.57,124.41,30,1,12
188.13,123.62,36,2,12
189.96,122.67,41,3,12
190.92,121.59,30,4,12
192.13,120.54,29,5,12
190.14,121.4,16,6,12
189.2,122.24,13,7,12
190.63,121.42,13,8,12
77.032,76.474,37,1,13
75.971,76.668,32,2,13
75.849,76.814,28,3,13
73.246,76.808,49,4,13
69.003,76.761,70,5,13
63.742,75.951,22,6,13
60.247,75.528,22,7,13
57.156,76.7,26,8,13
164.38,43.092,35,1,14
167.76,41.465,25,2,14
172.14,40.802,15,3,14
172.76,40.574,25,4,14
176.86,38.778,46,5,14
179.65,38.148,34,6,14
180.47,37.654,38,7,14
182.98,36.611,46,8,14
346,119,43,1,15
346.79,119.42,19,2,15
347.44,119.3,35,3,15
346.07,119.3,33,4,15
348.28,119.77,37,5,15
349.13,120.36,21,6,15
350.45,120.38,23,7,15
348.74,119.56,21,8,15
213.41,119.73,33,1,16
214.95,121.23,53,2,16
216.34,122.56,67,3,16
215.15,122.24,37,4,16
214.14,122.44,46,5,16
215.1,122.99,52,6,16
214.19,122.89,59,7,16
305.38,37.519,42,1,17
307.04,36.585,44,2,17
308.97,36.702,58,3,17
309.47,36.664,61,4,17
310.07,36.425,71,5,17
314.09,35.178,41,6,17
316.99,34,3,7,17
283.92,22.279,16,1,18
287.67,24.166,35,2,18
291.62,25.733,14,3,18
292.25,25.88,11,4,18
290.51,24.504,6,5,18
290.01,23.677,3,6,18
126.95,75.617,39,1,19
127.09,76.506,47,2,19
126.77,76.96,47,3,19
125.81,78.494,25,4,19
125.96,76.981,26,5,19
125.5,79,4,6,19
291.21,121.16,13,1,20
291.45,122.65,41,2,20
291.17,123.13,46,3,20
291.73,121.99,52,4,20
291.48,122.35,33,5,20
290.12,123.76,8,6,20
403.15,52.622,23,1,21
403.54,52.685,33,2,21
406.25,53.302,30,3,21
405.88,53.25,27,4,21
406.72,53.36,29,5,21
403.49,52.488,10,6,21
375.18,41.083,51,1,22
375.61,41.108,60,2,22
376.93,41.544,65,3,22
